epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,223.717,1.66365,2.64071,1.80211,0.46742,0.5017,0.46528,0.25081,1.46436,1.36585,1.60365,0.00997085,0.00332362,0.00997085,0.00332362,0.00997085,0.00332362,0.00997085,0.00332362
2,411.154,1.54011,1.76867,1.65972,0.49655,0.37036,0.36973,0.18603,1.6784,1.81416,1.75573,0.0197731,0.00659104,0.0197731,0.00659104,0.0197731,0.00659104,0.0197731,0.00659104
3,584.492,1.63664,1.93046,1.73109,0.36231,0.34019,0.26358,0.1207,1.97845,2.19181,2.04115,0.0293774,0.00979247,0.0293774,0.00979247,0.0293774,0.00979247,0.0293774,0.00979247
4,759.838,1.72228,2.14806,1.82867,0.3236,0.36573,0.32372,0.14279,1.86724,2.05486,1.96798,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,927.233,1.67255,2.00951,1.76557,0.61328,0.29944,0.3315,0.1513,1.8963,2.03813,1.9463,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1095.8,1.59235,1.84009,1.72961,0.60385,0.39519,0.41086,0.20775,1.63661,1.57104,1.77149,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1266.16,1.55273,1.7381,1.68761,0.45102,0.46807,0.45036,0.2306,1.59239,1.48515,1.69988,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1435.94,1.51282,1.63532,1.66531,0.49528,0.49673,0.48748,0.26084,1.51259,1.36464,1.66988,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1603.66,1.47323,1.53464,1.629,0.63336,0.4207,0.47938,0.25791,1.53086,1.35659,1.66646,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1774.8,1.45045,1.47788,1.60645,0.52309,0.48166,0.49702,0.25986,1.51934,1.32083,1.64241,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1946.25,1.41227,1.40385,1.57278,0.56521,0.56847,0.53753,0.29564,1.45493,1.19983,1.60244,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2123.55,1.39876,1.37247,1.56478,0.58453,0.5118,0.52646,0.28564,1.45736,1.22559,1.5854,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2290.39,1.3722,1.3018,1.54666,0.62208,0.51274,0.54631,0.2972,1.45325,1.20296,1.60709,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2461.08,1.3559,1.29051,1.5349,0.59817,0.52939,0.559,0.30793,1.40947,1.14676,1.56525,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2632.33,1.33909,1.23751,1.52149,0.63139,0.54366,0.57869,0.31272,1.45448,1.08685,1.60567,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2803.95,1.32328,1.18235,1.50785,0.59539,0.57125,0.57069,0.30567,1.43405,1.13053,1.58694,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2970.11,1.30638,1.16427,1.49434,0.59196,0.56084,0.5711,0.31426,1.41075,1.09657,1.55152,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,3140.91,1.28563,1.14504,1.47585,0.66535,0.57799,0.60242,0.32138,1.42268,1.05928,1.58623,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,3310.6,1.27092,1.10692,1.46518,0.65817,0.59027,0.63366,0.34441,1.39039,1.02028,1.5436,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,3477.16,1.25838,1.08427,1.44638,0.66828,0.60089,0.61149,0.33023,1.39749,1.04068,1.55291,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,3643.81,1.22234,1.03399,1.43239,0.64556,0.57535,0.60353,0.32993,1.39195,1.00448,1.5524,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,3818.1,1.22053,1.01741,1.42534,0.65602,0.57341,0.60225,0.33198,1.39871,0.99595,1.57491,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,3988.6,1.22756,1.01783,1.42778,0.6395,0.61171,0.61457,0.34028,1.39179,0.99299,1.56407,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,4154.9,1.20309,0.98452,1.41338,0.7159,0.57977,0.61855,0.34249,1.39688,0.95087,1.58307,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,4319.7,1.18525,0.97094,1.40346,0.66437,0.59125,0.61646,0.35062,1.37253,0.95628,1.54138,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,4491.1,1.1683,0.9424,1.38453,0.65477,0.60031,0.62419,0.35035,1.36839,0.97916,1.52815,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,4656.93,1.16047,0.92314,1.37265,0.66443,0.58978,0.61548,0.35007,1.35654,0.93755,1.5173,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,4826.18,1.1542,0.89505,1.36957,0.69689,0.58868,0.62662,0.35379,1.35996,0.90895,1.52498,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,5002.45,1.13935,0.89049,1.36459,0.63597,0.59952,0.60794,0.34053,1.38296,0.94714,1.54289,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,5167.97,1.13188,0.87312,1.35761,0.68341,0.60282,0.61895,0.35234,1.35653,0.93941,1.515,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,5335.26,1.12038,0.85973,1.34772,0.66289,0.6138,0.63917,0.36122,1.36781,0.91737,1.53181,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,5504.97,1.11287,0.84632,1.33825,0.67598,0.61375,0.62839,0.36201,1.35907,0.88544,1.55235,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,5671.8,1.099,0.82759,1.328,0.68078,0.58344,0.61632,0.3445,1.37626,0.90484,1.55912,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,5836.75,1.08665,0.82176,1.32282,0.63747,0.61684,0.62853,0.35612,1.3665,0.91619,1.5395,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,6001.43,1.07196,0.80168,1.31308,0.67481,0.63764,0.64923,0.37423,1.35033,0.88004,1.52878,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,6172.41,1.05598,0.78547,1.30462,0.64567,0.5846,0.60595,0.34544,1.36841,0.91301,1.55398,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,6337.38,1.05711,0.79105,1.30349,0.61891,0.63795,0.62161,0.34941,1.3543,0.90909,1.54141,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,6502.19,1.03552,0.76251,1.29235,0.67877,0.60874,0.63349,0.35924,1.37008,0.89108,1.55856,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,6668.53,1.03811,0.76424,1.29013,0.70611,0.60282,0.64139,0.36308,1.36452,0.87409,1.566,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,6837.32,1.04045,0.75831,1.28007,0.70091,0.58779,0.63033,0.35306,1.36315,0.87554,1.54371,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,7007.84,1.02134,0.74609,1.27839,0.71975,0.58926,0.64462,0.36141,1.35591,0.88369,1.54207,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,7175.53,1.01375,0.7255,1.26627,0.70687,0.60413,0.64039,0.36971,1.35888,0.88803,1.55059,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,7341.65,0.99855,0.71385,1.25249,0.71636,0.59606,0.65097,0.37524,1.34264,0.86874,1.52894,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,7507.95,0.98004,0.69796,1.23501,0.66181,0.63111,0.65242,0.37706,1.33879,0.84844,1.5429,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,7673.66,0.98319,0.70163,1.24456,0.72967,0.61238,0.65859,0.37763,1.35794,0.85417,1.57655,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,7843.23,0.96544,0.68261,1.23439,0.70928,0.59877,0.63403,0.36642,1.35025,0.86026,1.5637,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,8013.51,0.95078,0.66878,1.22463,0.73191,0.58132,0.64557,0.37326,1.35232,0.87517,1.56628,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,8179.82,0.96182,0.67325,1.22226,0.67031,0.64465,0.64648,0.37726,1.35165,0.84636,1.5568,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,8345.62,0.94307,0.66643,1.21146,0.6661,0.62087,0.64093,0.36777,1.34785,0.8574,1.56432,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,8510.39,0.92798,0.65296,1.20483,0.69077,0.5947,0.6312,0.36472,1.36616,0.85851,1.58101,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,8680.19,0.92603,0.647,1.20354,0.67956,0.60929,0.63457,0.36455,1.37018,0.86316,1.59464,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,8849.73,0.91326,0.62966,1.19843,0.69431,0.63706,0.65183,0.37949,1.35236,0.86684,1.58382,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,9016.43,0.90379,0.63011,1.18423,0.66445,0.64841,0.64994,0.37564,1.34626,0.84911,1.56851,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,9182.15,0.89591,0.61868,1.1803,0.66368,0.61633,0.6436,0.37436,1.34309,0.85821,1.57159,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,9348.38,0.88915,0.62372,1.1793,0.71879,0.59697,0.64529,0.37471,1.35004,0.86953,1.58164,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,9514.16,0.891,0.61216,1.17699,0.66725,0.64835,0.65469,0.37185,1.34063,0.84968,1.58154,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,9679.73,0.88064,0.60456,1.16973,0.67635,0.62218,0.65095,0.38003,1.33984,0.87414,1.5802,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,9845.41,0.87567,0.59557,1.17012,0.71925,0.60171,0.66178,0.38289,1.34666,0.85992,1.598,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,10011.3,0.858,0.59796,1.16682,0.70894,0.59085,0.64798,0.37721,1.3542,0.87548,1.61646,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,10179.4,0.85312,0.58177,1.15221,0.6608,0.64463,0.64662,0.37615,1.35062,0.88169,1.6282,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,10349.5,0.84554,0.57094,1.15091,0.7125,0.59581,0.64409,0.37116,1.36106,0.86496,1.62876,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,10517,0.84079,0.57299,1.14301,0.71598,0.58032,0.63969,0.3739,1.35087,0.8843,1.61121,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,10682.5,0.83101,0.55932,1.1331,0.73072,0.59152,0.65298,0.38194,1.34134,0.86461,1.61337,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,10847.3,0.80979,0.54067,1.12471,0.66297,0.63367,0.65185,0.38127,1.34866,0.87071,1.61115,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,11014.8,0.82005,0.55913,1.13458,0.68999,0.61114,0.64944,0.3806,1.3338,0.88037,1.61422,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,11184.6,0.81188,0.55495,1.13212,0.68145,0.61637,0.64603,0.37711,1.34595,0.87433,1.60957,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,11353.1,0.80362,0.54112,1.11723,0.66469,0.64595,0.65334,0.38284,1.34462,0.85578,1.62124,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
