epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.7856,1.281,2.79029,1.29904,0.59093,0.54017,0.55262,0.36431,0.98039,1.63101,1.16069,0.00026,0.00026,0.00026
2,35.1686,1.08368,1.27108,1.20305,0.71666,0.62053,0.63226,0.43848,1.05066,1.18479,1.27006,0.000524753,0.000524753,0.000524753
3,49.4281,1.12303,1.15273,1.23207,0.63469,0.42279,0.48567,0.32001,1.29608,2.19508,1.43568,0.00078416,0.00078416,0.00078416
4,62.7997,1.11021,1.13927,1.21952,0.49856,0.32766,0.33389,0.22278,1.59117,26.7827,1.76889,0.0009703,0.0009703,0.0009703
5,76.9333,1.12542,1.11988,1.22546,0.76995,0.47992,0.59041,0.37556,1.24422,2.14387,1.48426,0.0009604,0.0009604,0.0009604
6,90.3947,1.12685,1.07634,1.23687,0.72765,0.57016,0.65733,0.43333,1.05951,1.31426,1.319,0.0009505,0.0009505,0.0009505
7,103.754,1.08745,0.99063,1.19933,0.70657,0.66397,0.66069,0.39572,1.28767,1.30519,1.45778,0.0009406,0.0009406,0.0009406
8,117.303,1.06836,0.98025,1.19335,0.76822,0.70593,0.73107,0.50531,0.99888,1.1648,1.25397,0.0009307,0.0009307,0.0009307
9,136.035,1.0198,0.91625,1.15943,0.78313,0.70399,0.73756,0.50602,0.98475,1.03219,1.24809,0.0009208,0.0009208,0.0009208
10,150.018,0.97663,0.86898,1.14444,0.73554,0.71733,0.71268,0.49613,1.00186,0.84583,1.2686,0.0009109,0.0009109,0.0009109
11,163.321,1.00697,0.89278,1.16701,0.74775,0.69646,0.72497,0.52435,0.88465,1.18353,1.16227,0.000901,0.000901,0.000901
12,182.212,0.99882,0.85357,1.15207,0.82446,0.70175,0.7626,0.56905,0.88426,0.75084,1.1694,0.0008911,0.0008911,0.0008911
13,196.263,0.97287,0.85364,1.1409,0.75352,0.77349,0.78178,0.57184,0.84291,0.71363,1.15843,0.0008812,0.0008812,0.0008812
14,210.166,0.96726,0.8308,1.13403,0.73299,0.79577,0.76911,0.56037,0.85365,0.73293,1.18111,0.0008713,0.0008713,0.0008713
15,223.668,0.91989,0.79574,1.11647,0.75046,0.76742,0.74617,0.52098,0.93417,0.75917,1.18539,0.0008614,0.0008614,0.0008614
16,237.076,0.92076,0.7674,1.11133,0.79699,0.70824,0.72531,0.52189,0.91834,0.94317,1.1751,0.0008515,0.0008515,0.0008515
17,250.573,0.93477,0.76823,1.12002,0.78905,0.7727,0.77744,0.56688,0.83809,0.70705,1.12987,0.0008416,0.0008416,0.0008416
18,268.502,0.88148,0.70985,1.07698,0.70293,0.77664,0.75732,0.56084,0.80592,0.67241,1.11375,0.0008317,0.0008317,0.0008317
19,281.99,0.90614,0.7446,1.0857,0.78437,0.79244,0.78089,0.57303,0.82892,0.67283,1.13261,0.0008218,0.0008218,0.0008218
20,295.925,0.85774,0.7155,1.07172,0.74153,0.77893,0.75785,0.55211,0.83043,0.65616,1.13417,0.0008119,0.0008119,0.0008119
